id,name,phone,email,status
SXH67COH7QG,Wayne Goff,1-303-358-0264,waynegoff@yopmail.com,TRUE
WUA14VWJ8SW,Alfreda Morse,1-593-422-3828,alfredamorse@yopmail.com,TRUE
CNC73ONC3DQ,Emily Wright,1-781-273-0663,emilywright@yopmail.com,FALSE
IDI25BNP6BP,Uriah Black,(627) 836-2489,uriahblack@yopmail.com,FALSE
HDG03OYI6JW,Colton Dixon,(912) 679-4781,coltondixon@yopmail.com,FALSE
IFM34VRH0YN,Clio Snyder,(737) 736-8481,cliosnyder@yopmail.com,FALSE
SNI38EFY5VC,Sydnee Bryan,1-235-816-6835,sydneebryan@yopmail.com,TRUE
GDV74VSN4RB,Evangeline Cline,(535) 244-9866,evangelinecline@yopmail.com,FALSE
LQH38PDQ7NW,Briar Chaney,(665) 418-2458,briarchaney1007@yopmail.com,TRUE
FYT51SFG3PO,Xanthus Howell,1-327-389-5773,xanthushowell@yopmail.com,FALSE
