transaction number,account number,card number,amount,transaction status,date,time
224B4F9F-FA7F-2992-8659-7B189B5595AE,KZ246977514125755775,522336 8516983980,360,fail,30-04-2020,14:24
B6F4F18C-A42D-BA17-D737-E9F9925B232E,VG7324258604826308266425,6.76774E+15,249,fail,23-07-2019,23:05
6984CB2D-7D3D-27D6-9A95-DE9C2E7BF4C2,NL44JLQU9362614187,575151 838851 1760,249,success,10-12-2020,07:11
E9D1E610-5241-2E2A-4444-C9CCC5939B3C,CR7416287732634460068,453978 2828164411,376,success,27-11-2020,16:25
17891DDA-6075-909D-EB1B-11CD18C7C2A6,RO77LUOI2763438193668859,633 48177 56479 840,998,success,21-05-2021,03:17
A4C441EA-EB4B-682E-86C6-CDB5C54B52BC,IE05WXHS58012276446389,417 50017 29388 188,676,success,04-06-2020,20:04
3144EB2A-32B0-7956-ED93-3017DC727DFE,RS28287403825528701823,6.76727E+18,867,success,29-05-2019,12:42
CB25AA4C-8316-76E5-48D1-F2BC714181D9,BE36362782258581,3.78214E+14,74,fail,04-02-2019,22:00
B33428C2-4DB4-88ED-87BA-B6C94E347767,FO2257531471211371,6.70949E+17,825,fail,22-11-2018,00:14
4CC9D8CA-2736-ABD6-3265-AEE85184E2B7,NO8358480541558,503829 564634 4970,533,fail,16-12-2020,02:00
62484342-4413-1CAF-2262-107333C74ADD,DK7682231603173354,3.64187E+14,807,success,22-06-2019,19:21
D8F786B9-1EBF-002D-542D-6979828B652B,HU97361913199831393446555521,3.65838E+14,694,success,15-03-2019,10:51
B4B76E8D-17C0-81A1-D4E3-CD6FE8A72BEB,HU60617054618232926056628711,3453 666547 56255,452,success,27-04-2021,15:59
4A1234ED-5E0A-8E50-D1BD-7C6A061E8188,LU233803822825932856,648443 3784677542,262,success,13-09-2020,12:49
882729EF-D776-AE2E-CA17-CF90D5E9E216,AL80594572751550325608346654,3444 631247 54225,883,fail,28-08-2018,21:52
9277794D-8948-8235-D592-4867253EA78C,GE82242370429494073292,633 46451 34523 728,842,fail,29-08-2019,23:08
216EC907-3671-3279-4596-4D554E7B9AA7,PL35541914672558652466696805,657488 8866624731,878,success,24-01-2020,00:16
CA014356-E41D-D5B3-4499-A58959741713,ME15601109112152784856,5171 2979 6743 5731,271,fail,04-06-2020,23:01
0E3D3366-EBFF-92D3-9A3C-FCEC21884BDF,ME98542484711262179779,3.61662E+14,151,success,10-04-2019,02:26
68523D53-0702-10FA-D49D-A62CD4C9ABA9,KZ465621017520714176,3.78873E+14,36,fail,03-09-2018,12:35
BE71791E-8A83-A26B-010C-7C17EB6B3C78,SA7225454423705696375783,4.91347E+15,109,success,22-06-2018,22:35
6EC66BA1-2AED-4ACB-4344-248DC5C2A30B,DK9163768580876331,644586 718398 7572,793,fail,14-07-2019,13:40
C1393454-C82D-CC86-9577-AC96B79AEDB3,LV06FRHL5443132474699,6.70911E+16,648,success,22-04-2019,19:12
BC7B99B8-B02B-E21E-25AE-277BDF4C30E2,MU6455818335035558798757257593,402695 6937938960,520,fail,29-05-2019,16:58
BC77DD81-5467-DD92-327A-322D9CA4BD55,GI22IDQO589189886685288,453 23733 65774 619,686,success,09-02-2021,06:20
CFB3E07B-10D8-A27E-36E7-756D7A1DE193,BE32525913237158,630434 659232 9627,210,fail,10-04-2021,19:01
3A27A66E-E355-8ADD-AAD2-E8A2D3D5A2DC,GE94823316817677544919,4026 5446 5758 1440,275,success,14-08-2019,18:39
DB697DA3-DE13-D2BC-DC5B-1A2DC9D2136C,MK67495672347552084,513474 5715796719,74,fail,17-10-2019,09:17
57EB081F-5A37-39B7-4522-E17388766764,PT60850765678418382205158,6.30419E+18,474,success,19-12-2020,12:05
14C0D7C9-72FA-5BC1-B658-BA763E05E82E,PS251467203204755474697380596,3713 167443 44940,744,success,27-01-2021,14:31
9DE3A449-6314-0FB3-DE9D-187C60DF9A60,SK7532113250145271617256,670642 6838562621,310,fail,24-06-2020,15:10
DA819549-26BC-7617-7F3A-56676880CAD9,LT480241241752441645,3693 886726 24779,966,fail,11-06-2019,06:16
0DABA603-6B23-1A6B-1B6C-397CCC8EFD86,HU23812524120472612287120449,4.71677E+12,320,fail,27-01-2021,16:57
58D16E35-74DC-8BCA-56AC-66D67CED78C6,EE731592032356454788,2.14984E+14,535,fail,09-01-2021,21:15
A66684CC-5C47-A61E-6BE5-1CA3B93BC98A,TR951944547769274546198874,3.05733E+14,595,success,09-02-2020,16:43
777CE004-1677-C4F3-F12B-5BEBA579546A,HR9176110784525534274,6.33467E+18,383,success,25-04-2020,13:03
7FBD4E15-8006-4576-3F1D-1468B8A9B318,DE71818275837236307412,4556 3246 6436 3886,373,success,16-02-2021,08:35
35C91ACE-A401-936D-C782-494A735D1692,LT591014132335859791,448 57757 66152 350,672,success,26-01-2019,07:17
A4245AE8-2EC2-2667-3FB1-4775CB2744C2,FI0670235053838545,402665 253452 3855,127,fail,04-11-2019,01:40
0E254BD6-D99A-25ED-B8BA-640DB4A578A6,BA453599177941544924,3.77645E+14,42,fail,26-10-2018,04:14
60213339-D79C-23B4-56CB-9A294D0A574D,HU34197460503465856030565094,6011 8317 1548 7323,306,success,12-10-2019,17:54
F84A4811-BDB6-7FB7-2A93-BD40071D5C25,SK5161675017131273622453,2014 412668 38296,596,success,13-04-2019,07:56
2E35BC9A-0CAE-B0C7-7BDD-D48F171599D3,CY65205597564034428468455429,450826 4489766427,663,fail,24-12-2018,10:50
61EC5C1B-B97E-3A46-AC1E-EA4917253D1C,VG1830486492014978720461,2014 244876 17970,992,fail,16-09-2018,03:01
B21A2EB8-29E2-4A59-1E11-8E9CC134B926,DK7642658095973444,3428 665875 15424,798,fail,30-03-2021,20:42
E8127933-F870-243A-CA8C-31A0E2E979FB,MD4297964851365228526723,490558 57 1852 9122 384,859,success,01-08-2018,03:03
